title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
Quality of fresh and cryopreserved bovine sperm is reduced by BPA and BPF exposure,10.1530/RAF-23-0018,2023,bisphenol A,"The abstract compares the effects of BPA, BPS, and BPF on bovine sperm quality and finds that BPA is the most harmful, BPF is toxic under certain conditions, and BPS seems to be the least detrimental with no significant effects on measured parameters. This indicates that BPS is presented as a safer alternative to BPA.",bisphenol S (BPS),"endocrine disruption, reduced sperm motility, reduced sperm capacitation, reduced sperm viability, reduced mitochondrial membrane potential in sperm, negative impact on male fertility"
High-performance adhesives modified by demethylated lignin for extreme environment,10.1039/d2nj06225a,2023,bisphenol A,"The abstract mentions replacing bisphenol A, a toxic chemical, with harmless biomass-based raw materials in epoxy resin preparation, indicating a safer alternative. This replacement is explicitly framed as a safer option due to the toxicity of bisphenol A and the use of harmless biomass-based materials.",biomass-based raw materials,toxic chemical
"Determination of cytotoxicity of dentine bonding agents, hydroxyethyl methacrylate and bisphenol alpha",10.15713/INS.IDMJAR.57,2017,bisphenol A,"The abstract compares cytotoxicity of several dental adhesives and components, including bisphenol alpha, and finds that bisphenol alpha and One Coat-7.0 were strongly cytotoxic, while Clearfil SE Bond showed the lowest cytotoxicity. This indicates Clearfil SE Bond may be a safer alternative to bisphenol alpha in terms of cytotoxicity.",Clearfil SE Bond,cytotoxicity
"One‐pot method for upcycling polycarbonate waste to yield high‐strength, BPA‐free composites",10.1002/pol.20230724,2023,bisphenol A,"The abstract describes a thiocracking method that chemically upcycles polycarbonate waste by disintegrating bisphenol A units into monoaryls, thereby eliminating endocrine-disrupting BPA from the material and downstream waste. The resulting composite SPC90 is BPA-free and has mechanical strengths suitable for building materials, suggesting it as a safer alternative to BPA-containing polycarbonate. The abstract explicitly presents SPC90 as a BPA-free material with safety advantages over BPA-containing materials.",SPC90,endocrine disruption
Sustainable alternative to bisphenol A epoxy resin: high-performance recyclable epoxy vitrimers derived from protocatechuic acid,10.1039/d0py00545b,2020,bisphenol A,The abstract explicitly states that epoxy vitrimers derived from protocatechuic acid can be used as renewable alternatives to BPA epoxy resins and highlights better thermal and mechanical properties as well as efficient reprocessability and degradability. This indicates a safer alternative to bisphenol A in terms of sustainability and recyclability.,epoxy vitrimers derived from protocatechuic acid,
Sex-specific changes in oxidative stress parameters and longevity produced by Bisphenol F and S compared to Bisphenol A in Drosophila melanogaster.,10.1016/j.cbpc.2022.109329,2022,bisphenol A,"The abstract compares the toxicological effects of Bisphenol A (BPA) with Bisphenol F (BPF) and Bisphenol S (BPS) in Drosophila melanogaster. It states that BPA was more harmful than BPF and BPS in male flies and that females were more susceptible to oxidative damage from BPA and BPS than BPF. This indicates that BPF has a safety advantage over BPA, suggesting it as a safer alternative.",Bisphenol F (BPF),"oxidative cell damage, decreased catalase (CAT) activity, increased reactive species (RS), increased lipid peroxidation (LPO), reduced mitochondrial viability, reduced glutathione-S-transferase (GST) activity, reduced superoxide dismutase (SOD) activity, reduced longevity"
PASIF Pemanfaatan Pati Ubi Jalar Serta Kitosan Sebagai Antimikroba Dalam Pembuatan Edible film,10.64477/301240-246,2024,bisphenol A,The abstract explicitly states that edible films made from sweet potato starch and chitosan are an alternative to plastics containing Bisphenol A (BPA) to avoid the health dangers of BPA. This indicates a safer alternative to BPA-containing plastics by using edible films as food packaging.,sweet potato starch; chitosan,health problems
"Preparation of Renewable Epoxy-Amine Resins With Tunable Thermo-Mechanical Properties, Wettability and Degradation Abilities From Lignocellulose- and Plant Oils-Derived Components",10.3389/fchem.2019.00159,2019,bisphenol A,"The abstract presents novel bisphenols (GDFx) derived from renewable sources that show no endocrine disruption, implying a safety advantage over bisphenol A, which is known for endocrine disruption. It explicitly mentions these bio-based epoxy precursors as innocuous and renewable alternatives, suggesting they are safer alternatives to bisphenol A.",novel bisphenols (GDFx),
Bisphenol F has different effects on preadipocytes differentiation and weight gain in adult mice as compared with Bisphenol A and S.,10.1016/j.tox.2019.03.016,2019,bisphenol A,"The abstract compares the effects of Bisphenol A (BPA), Bisphenol S (BPS), and Bisphenol F (BPF) on preadipocyte differentiation and weight gain. It indicates that BPS and BPA increase lipid accumulation and gene expression related to differentiation, while BPF decreases these gene expressions and results in less weight gain in mice. This suggests BPF has different and potentially less obesogenic effects than BPA, implying a safety advantage. Therefore, BPF can be reasonably interpreted as a safer alternative to BPA.",Bisphenol F (BPF),"endocrine disruption, potential obesogenic effects"
Synthetic Light‐Curable Polymeric Materials Provide a Supportive Niche for Dental Pulp Stem Cells,10.1002/adma.201704486,2018,bisphenol A,"The abstract compares thiol-ene polymerized triacrylates to bisphenol A glycidyl methacrylate, stating that the latter negatively impacts stem cell adhesion and signaling pathways, while the former supports stem cell adhesion, proliferation, and differentiation. This indicates that the triacrylate-based materials have safety advantages in terms of biocompatibility with dental pulp stem cells, suggesting they are a safer alternative to bisphenol A-based materials.",thiol-ene polymerized triacrylates,
Bisphenol A and genistein have opposite effects on adult chicken ovary by acting on ERα/Nrf2-Keap1-signaling pathway.,10.1016/j.cbi.2021.109616,2021,bisphenol A,"The abstract compares bisphenol A (BPA) and genistein (GEN) in terms of their effects on the adult chicken ovary. It states that BPA causes toxicity and oxidative stress, while GEN improves antioxidant capacity and ameliorates BPA-induced oxidative stress. This indicates that genistein has safety advantages over BPA and could be interpreted as a safer alternative.",genistein,"reproductive toxicity, degeneration of follicles and stromal cells, increase of atretic follicles, disruption of redox homeostasis in the ovary, activation of Keap1 and suppression of Nrf2-signaling pathway, alteration of estrogen receptor alpha (ERα) expression"
"Effects of bisphenol A and its analogs bisphenol F and S on life parameters, antioxidant system, and response of defensome in the marine rotifer Brachionus koreanus.",10.1016/j.aquatox.2018.03.024,2018,bisphenol A,"The abstract compares the toxicity of bisphenol A (BPA) with its analogs bisphenol F (BPF) and bisphenol S (BPS), stating that BPA showed the highest acute toxicity, followed by BPF and then BPS. It also suggests that BPS likely causes less toxicity compared to BPA and BPF, indicating a safety advantage. Therefore, BPS can be reasonably interpreted as a safer alternative to bisphenol A.",bisphenol S (BPS),"acute toxicity, adverse effects on life span, adverse effects on reproduction, increased intracellular reactive oxygen species (ROS) levels, increased glutathione S-transferase (GST) activity, modulation of cytochrome P450 (CYP) and GST gene expression"
Hydrolyzable Bio‐Based Bisphenols Enabled by the Tishchenko Reaction for Polyurethane Vitrimers with Closed‐Loop Recyclability,10.1002/advs.202503152,2025,bisphenol A,"The abstract explicitly states that the developed fully bio-based bisphenols offer a sustainable alternative to conventional bisphenol A (BPA). It highlights that these bio-based bisphenols introduce hydrolyzable ester bonds allowing complete degradation within approximately 3 days, providing an efficient and eco-friendly end-of-life solution, which implies a safety advantage over BPA. Therefore, the bio-based bisphenols described are presented as a safer alternative to BPA.",bio-based bisphenols,
Technical Note – Novel Condensates with High Bio-Based Content as Syntan Replacements,10.34314/kc29s514,2025,bisphenol A,"The abstract introduces novel condensates made from renewable aromatic aldehydes like vanillin that avoid the use of formaldehyde and bisphenols, which are toxic components in conventional syntans containing bisphenol A. It explicitly states no bisphenols are formed and highlights the use of less toxic, renewable materials, indicating a safer alternative to bisphenol-containing syntans.",vanillin,
Cytogenetic and developmental toxicity of bisphenol A and bisphenol S in Arbacia lixula sea urchin embryos,10.1007/s10646-022-02568-w,2022,bisphenol A,"The abstract compares bisphenol A (BP-A) and bisphenol S (BP-S), stating that BP-S is an alternative to BP-A. It reports that BP-S induces similar toxic effects but with lower severity, including significantly fewer malformed embryos and no cytogenetic toxicity at certain concentrations where BP-A is toxic. This indicates BP-S is presented as a safer alternative to BP-A.",bisphenol S (BP-S),"embryotoxicity, cytogenetic toxicity, embryonic malformations, embryo mortality"
Synthesis and Properties of Furan Derivatives for Epoxy Resins,10.1021/ACSSUSCHEMENG.0C09313,2021,bisphenol A,"The abstract discusses bio-based epoxy resins derived from furan derivatives as substitutes for fossil fuel analogues from bisphenol A. It highlights the use of bio renewable monomers with low toxicity and compares thermal and mechanical properties, indicating the high potential of bio-based monomers as substituents for bisphenol A. This implies a safer alternative due to lower toxicity and renewable sourcing.",bio-based epoxy resins derived from furan derivatives; bio-based monomers,
The Choice of Hemodialysis Membrane Affects Bisphenol A Levels in Blood.,10.1681/ASN.2015030312,2016,bisphenol A,"The abstract compares BPA-containing polysulfone dialyzers with BPA-free polynephron dialyzers and shows that polynephron dialyzers reduce BPA levels and associated oxidative stress and inflammation, indicating a safety advantage. This suggests that polynephron dialyzers are a safer alternative to BPA-containing polysulfone dialyzers.",polynephron,"kidney injury, cardiovascular injury, increased oxidative stress in PBMCs, increased inflammatory marker concentrations in circulation, sensitization to adverse effects in patients with chronic kidney disease (CKD)"
Bio-based Non-estrogenic Dimethacrylate Dental Composite from Cloves,10.1177/00220345221109498,2022,bisphenol A,"The abstract explicitly compares the bio-based dimethacrylate monomers BEF-GMA and BEF-EA to commercial bisphenols including Bis-GMA, highlighting that these bio-based monomers are nonestrogenic and exhibit improved biocompatibility. It states that these materials are derived from nonestrogenic bio-based phenols and present a potential strategy to establish biocompatible dental materials without BPA, indicating a safer alternative to bisphenol A.",BEF-GMA; BEF-EA,endocrine disruption
Modulation of cytokine/chemokine production in human macrophages by bisphenol A: A comparison to analogues and interactions with genistein,10.1080/1547691X.2018.1476629,2018,bisphenol A,"The abstract compares the immunotoxicity of BPA with its analogs BPS and BPAF, stating that BPS was the least toxic among them. This indicates a safety advantage of BPS relative to BPA, suggesting BPS as a safer alternative. The abstract explicitly presents BPS as less toxic than BPA in the context of macrophage immunotoxicity.",bisphenol S (BPS),"immunotoxicity to macrophages, alteration of cytokine and chemokine secretion, cell viability inhibition"
"An expanded toxicological profile of tetramethyl bisphenol F (TMBPF), a precursor for a new food-contact metal packaging coating.",10.1016/j.fct.2019.110889,2019,bisphenol A,"The abstract states that tetramethyl bisphenol F (TMBPF) imparts critical physical properties without the estrogenic activity concerns associated with other bisphenols, indicating a safety advantage. It further describes TMBPF as a low-toxicity substance with a toxicology profile distinct from some other bisphenols, implying it is safer than bisphenol A. Thus, TMBPF is presented as a safer alternative to bisphenol A.",tetramethyl bisphenol F (TMBPF),
"Overview: Polycarbonates via Ring-Opening Polymerization, Differences between Six- and Five-Membered Cyclic Carbonates: Inspiration for Green Alternatives",10.3390/polym14102031,2022,bisphenol A,"The abstract explicitly states that glycerol carbonate (GC), a five-membered cyclic carbonate derived from renewable glycerol and CO2 fixation, presents a strong alternative to bisphenol A (BPA). It also notes that BPA is listed as a substance of very high concern, implying safety issues. The mention of GC's physical properties and potential for producing new polycarbonates suggests safety advantages over BPA.",glycerol carbonate (GC),listed as a substance of very high concern (SVHC) under the REACH regulation
Screening of the Antagonistic Activity of Potential Bisphenol A Alternatives toward the Androgen Receptor Using Machine Learning and Molecular Dynamics Simulation.,10.1021/acs.est.3c09779,2024,bisphenol A,"The abstract explicitly mentions lignin-derivable bisguaiacols as alternatives to BPA that are likely to be nonantagonist for the androgen receptor compared to bisphenol analogues, indicating a safety advantage in terms of endocrine disruption. This suggests lignin-derivable bisguaiacols are presented as a safer alternative to BPA.",lignin-derivable bisguaiacols,endocrine-disrupting effects
Are potential bisphenol-A substitutes really safe for aquatic life? Impact on primary producers,10.12714/egejfas.41.3.05,2024,bisphenol A,"The abstract compares the toxicity of bisphenol A (BPA) and its analogues BPB, BADGE, and BFDGE on marine phytoplankton and reports that BPB, BFDGE, and BADGE showed lower toxicity than BPA, indicating these analogues are safer alternatives in terms of algal growth inhibition.",BPB; BADGE; BFDGE,"threat to environmental health, threat to human health, toxicity to marine phytoplankton (algal growth inhibition)"
Equol-based epoxy resin as an ideal substitute for the Diglycidyl Ether of Bisphenol A (DGEBA),10.1016/j.polymdegradstab.2024.110856,2024,bisphenol A,"The abstract presents equol-based epoxy resin (EEU) as an ideal alternative to bisphenol A-type epoxy resin (DGEBA), highlighting superior mechanical properties, heat resistance, and flame retardant properties. Although it emphasizes performance improvements, it explicitly states EEU as an alternative to bisphenol A-based resin, implying a safer and more environmentally friendly bio-based option.",equol-based epoxy resin,
Determination of Endocrine Disruptor Bisphenol-A leakage from Different Matrices of Dental Resin-Based Composite Materials,10.2174/1573412917666210525114226,2021,bisphenol A,"The abstract mentions that BPA was detected in all resin combinations except below quantification limits in one system, and it concludes by suggesting the use of alternative materials such as high-viscosity glass ionomers, inorganic biomaterials, and ceramic as ideal and healthier options. This implies these alternatives are safer than BPA-containing resins due to health concerns related to BPA leakage.",high-viscosity glass ionomers; inorganic biomaterials; ceramic,endocrine disruptor
Condensation reaction using monohydroxymethylated cardanol for cardanol-phenol bisphenol with ultra-low hormone receptor binding affinity.,10.1039/d5cc04913j,2025,bisphenol A,"The abstract explicitly states that the novel bio-based cardanol–phenol bisphenol has hormone receptor binding affinity nearly three orders of magnitude lower than bisphenol A, indicating a clear safety advantage in terms of endocrine disruption potential. This suggests it is a safer alternative to bisphenol A.",cardanol–phenol bisphenol,
Straw Tar Epoxy Resin for Carbon Fiber-Reinforced Plastic: A Review,10.3390/polym16172433,2024,bisphenol A,"The abstract explicitly states that straw tar-based epoxy resins are recognized as potential alternatives to bisphenol A-based epoxy resins and highlights their role in overcoming problems related to BPA's endocrine disruption and environmental pollution. It also mentions the development of epoxy resins in the direction of non-toxic and harmless characteristics, indicating a safety advantage over BPA.",straw tar-based epoxy resins,"affects the human endocrine system, affects metabolism, environmentally polluting"
Life history traits of low-toxicity alternative bisphenol S on Daphnia magna with short breeding cycles: A multigenerational study.,10.1016/j.ecoenv.2023.114682,2023,bisphenol A,"The abstract states that bisphenol S (BPS) has become an alternative to bisphenol A due to its relatively lower toxicity, explicitly indicating a safety advantage. However, the study also reveals that BPS has adverse multigenerational effects on Daphnia magna, raising concerns about its ecological impact. Despite these concerns, the abstract clearly presents BPS as a lower-toxicity alternative to bisphenol A.",bisphenol S (BPS),
Cerium–Bismuth Oxides/Oxynitrates with Low Toxicity for the Removal and Degradation of Organophosphates and Bisphenols,10.1021/acsanm.2c03926,2022,bisphenol A,"The abstract presents Bi-doped ceria (cerium–bismuth oxides/oxynitrates) as having very low toxicity to mammalian cells, aquatic organisms, and bacteria, and highlights its efficiency in adsorbing and photodegrading bisphenol A. This indicates a safety advantage and suggests it as a safer alternative for the removal and degradation of bisphenol A compared to conventional materials.",Bi-doped ceria (cerium–bismuth oxides/oxynitrates),
Development of Eco‐Friendly Thermosetting Resins From Zein and Diglycidyl Ether of Vanillyl Alcohol. A Step Toward Sustainable Materials,10.1002/chem.202500624,2025,bisphenol A,"The abstract explicitly states that the diglycidyl ether of vanillyl alcohol (DGEVA) is a biobased epoxy monomer serving as a sustainable alternative to petrochemical epoxides, and it is bisphenol A-free. This indicates a safer alternative to bisphenol A by avoiding its use and employing renewable, environmentally friendly materials.",diglycidyl ether of vanillyl alcohol (DGEVA),
New Epoxy Thermosets Derived from a Bisimidazolium Ionic Liquid Monomer: An Experimental and Modeling Investigation,10.1021/acssuschemeng.0c03832,2020,bisphenol A,"The abstract explicitly states that the novel polymerizable ionic liquid monomer (ILM) based on a bisimidazolium salt was synthesized to substitute bisphenol A diglycidyl ether (DGEBA) and avoid the use of highly toxic bisphenol A. This indicates a safety advantage as it aims to replace a highly toxic material with a presumably safer alternative. The ILM is presented as a replacement with promising properties, implying it is a safer alternative to bisphenol A.",bisimidazolium ionic liquid monomer (ILM),"highly toxic Bis-imidazolium, carcinogenic bisphenol A"
"Zinc Polyaleuritate Ionomer Coatings as a Sustainable, Alternative Technology for Bisphenol A-Free Metal Packaging",10.1021/acssuschemeng.1c04815,2021,bisphenol A,"The abstract presents zinc polyaleuritate ionomer coatings as biobased lacquers with mechanical properties and wettability better than bisphenol A-based resins, and low migration values, suggesting safety advantages. It explicitly refers to these coatings as potential materials for bisphenol A-free metal packaging, indicating they are a safer alternative to bisphenol A.",zinc polyaleuritate ionomer coatings,
Intrinsically Noncombustible Thermosets from Sulfur-Containing Epoxy Resin and Benzoxazines: Evaluation of Thermal and Mechanical Properties,10.1155/2023/1686001,2023,bisphenol A,"The abstract explicitly states that the new sulfur-containing epoxy resin (EPS) was synthesized using 4,4’-thiobisphenol (TBP) instead of bisphenol A (BA). It highlights improved flame retardancy and thermal properties of the TBP-based copolymers compared to BA-based ones, indicating safety advantages related to fire hazard. This suggests TBP-based EPS is a safer alternative to bisphenol A in terms of flame retardancy and thermal stability.","4,4’-thiobisphenol (TBP)",
Toward the Manufacturing of a Non-Toxic High-Performance Biobased Epoxy–Hemp Fibre Composite,10.3390/polym16142010,2024,bisphenol A,"The abstract explicitly states that BioIgenox, a biobased epoxy resin, does not have endocrine disrupting activities unlike BPA, a precursor of the conventional DGEBA epoxy resin. This indicates a clear safety advantage of BioIgenox over bisphenol A, presenting it as a safer alternative.",BioIgenox,
Cytotoxicity measurement of Bisphenol A (BPA) and its substitutes using human keratinocytes,10.1016/j.envres.2018.03.043,2018,bisphenol A,"The abstract explicitly compares the cytotoxicity of BPA and its substitutes, stating that the substitutes are significantly less toxic than BPA. It identifies 1,4-cyclohexanedimethanol (CHDM) and terephthalic acid (TPA) as the least toxic and most suitable substitutes, indicating a safety advantage over BPA.","1,4-cyclohexanedimethanol (CHDM); terephthalic acid (TPA)","endocrine disruption, cytotoxicity, toxicity to human health, induction of apoptosis in human keratinocytes, DNA damage"
BPA-free high-performance sustainable polycarbonates derived from non-estrogenic bio-based phenols,10.1039/d1gc01500a,2021,bisphenol A,"The abstract states that several bio-based bisphenols were found to be non-estrogenic, implying a safety advantage over bisphenol A, which is known for estrogenic activity. It also mentions that polycarbonates derived from these bio-based bisphenols have comparable thermal properties to petroleum-derived thermoplastics, suggesting these bio-based bisphenols are presented as safer alternatives to bisphenol A.",bio-based bisphenols,
Comparative cardiotoxicity assessment of bisphenol chemicals and estradiol using human induced pluripotent stem cell-derived cardiomyocytes,10.1101/2023.09.13.557564,2023,bisphenol A,"The abstract compares bisphenol A (BPA) with bisphenol S (BPS) and bisphenol F (BPF) and finds that BPS is the least potent disruptor of cardiomyocyte function, with cardiomyocyte physiology largely undisturbed by BPS exposure. This indicates that BPS has a lower cardiotoxicity profile than BPA, suggesting a safety advantage. Therefore, BPS can be reasonably interpreted as a safer alternative to BPA based on the presented cardiac toxicity data.",bisphenol S (BPS),"cardiac electrophysiology perturbation, decrease in depolarizing spike amplitude, shorter field potential duration, shorter action potential duration, shorter calcium transient duration, decrease in cardiomyocyte contractility"
Interactions of three bisphenol analogues with hemoglobin investigated by spectroscopy and molecular docking,10.1002/jmr.2758,2018,bisphenol A,"The abstract explicitly states that BPB could be used as a better substitute for bisphenol A, implying it is safer. It also mentions the need to control concentrations of BPF and BPS due to their effects, further supporting BPB as a safer alternative.",bisphenol B (BPB),
Evaluation of single and combined toxicity of bisphenol A and its analogues using a highly-sensitive micro-biosensor.,10.1016/j.jhazmat.2019.120908,2020,bisphenol A,"The abstract compares the cytotoxicity of bisphenol A (BPA) and its analogues, showing that bisphenol F (BPF) and bisphenol S (BPS) have lower cytotoxicity (IC50 rank order: BPAF > BPB > BPA > BPF > BPS). This indicates that BPF and BPS have safety advantages in terms of lower cytotoxicity, which can reasonably be interpreted as safer alternatives to BPA.",bisphenol F (BPF); bisphenol S (BPS),cytotoxicity
Estrogenic activity research of a novel fluorinated bisphenol and preparation of an epoxy resin as alternative to bisphenol A epoxy resin,10.1016/J.EURPOLYMJ.2018.09.020,2018,bisphenol A,"The abstract presents BTFMEP, an epoxy resin derived from BTFMHQ, which has low estrogenic activity compared to bisphenol A (DGEBA). It explicitly states that BTFMEP is an alternative to DGEBA and highlights its improved properties including lower estrogenic activity, which implies a safety advantage over bisphenol A.",BTFMEP,
Recent Advances in Bio-Based Sustainable Aliphatic and Aromatic Epoxy Resins for Composite Applications,10.4028/www.scientific.net/KEM.882.121,2021,bisphenol A,"The abstract discusses bio-based epoxy resins as potential substitutes for diglycidylether of bisphenol A (DGEBA). It specifically mentions a novel bio-epoxy derived from magnolol (DGEM) that has comparable mechanical and thermal properties with better flame retardancy, suggesting a safety advantage. This indicates DGEM could be a safer alternative to bisphenol A-based epoxy resin.",magnolol-derived epoxy (DGEM),
"A novel bio-based epoxy resin from oligomer: Excellent processability, high heat resistance, and intrinsic flame retardancy",10.3144/expresspolymlett.2021.95,2021,bisphenol A,"The abstract explicitly presents P-DBP-EP-n, a bio-based epoxy oligomer derived from biomass magnolol, as a substitute for petroleum-based diglycidyl ether of bisphenol A (DGEBA). It highlights superior properties including higher heat resistance, better mechanical strength, and outstanding flame retardancy compared to DGEBA/DDM. These improvements imply safety advantages such as enhanced flame retardancy and thermal stability, supporting that P-DBP-EP-n is a safer alternative to bisphenol A-based epoxy resin.",P-DBP-EP-n,
Bisphenol S is a haemodialysis-associated xenobiotic that is less toxic than bisphenol A,10.1093/ckj/sfaa071,2020,bisphenol A,"The abstract explicitly compares bisphenol S (BPS) to bisphenol A (BPA) and reports that BPS concentrations are lower than BPA concentrations in patients and that no toxicity was observed for BPS at concentrations found in patient plasma, whereas BPA was toxic at certain concentrations. This indicates that BPS is less toxic and thus a safer alternative to BPA in the context of haemodialysis.",bisphenol S (BPS),toxicity at concentrations ≥100 µM (for bisphenol A)
The Effects of Low-Dose Bisphenol A and Bisphenol F on Neural Differentiation of a Fetal Brain-Derived Neural Progenitor Cell Line,10.3389/fendo.2018.00024,2018,bisphenol A,"The abstract compares bisphenol A (BPA) and bisphenol F (BPF) in terms of their effects on neural differentiation. It reports that BPA exposure decreases β III-tubulin mRNA levels and the number of β III-tubulin-positive cells, indicating disruption, whereas BPF exposure does not cause these changes. This suggests BPF may be safer than BPA regarding neural differentiation effects, implying BPF as a safer alternative.",bisphenol F,"endocrine disruption, disruption of brain function, disruption of neural differentiation, potential adverse effects on brain development"
Phenolic Hydroxyl‐Activated Lignin for Preparation of Extreme Environments Adaptive Adhesives,10.1002/app.56728,2025,bisphenol A,"The abstract explicitly mentions lignin as an alternate for the health-risk compound bisphenol A in epoxy resin adhesives, implying a safer alternative. It highlights the use of a green deep eutectic solvent to enhance lignin's reactivity, resulting in adhesives with strong mechanical properties and stability under extreme conditions, supporting lignin's potential as a safer substitute.",lignin,
"Bisphenol A, bisphenol S, bisphenol F and bisphenol AF induce different oxidative stress and damage in human red blood cells (in vitro study).",10.1016/j.tiv.2017.02.018,2017,bisphenol A,"The abstract compares the effects of BPA and its analogs (BPS, BPF, BPAF) on oxidative stress parameters in human erythrocytes. It explicitly states that BPS, the main BPA substituent, did not alter most parameters studied, implying it has a lower impact on oxidative stress compared to BPA. This suggests BPS may be a safer alternative to BPA.",bisphenol S (BPS),"oxidative stress, increased reactive oxygen species (ROS) formation, lipid peroxidation, depletion of glutathione (GSH) level, altered activities of antioxidant enzymes (superoxide dismutase, catalase, glutathione peroxidase)"
