title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
Workable Cadaveric Preservation for Developing Skills Training Models: A Review,10.20944/preprints202006.0097.v1,2020,formaldehyde,"The abstract explicitly mentions the health hazards related to formaldehyde and lists several alternative preservative methods and solutions such as Thiel’s solution, phenoxyethanol preservation, and others as alternatives to formaldehyde. The aim stated is to reduce formaldehyde usage, implying these alternatives are considered safer.",Thiel’s solution; phenoxyethanol,health hazards related to formaldehyde preservation of cadavers
Acidic deep eutectic solvent as a novel catalyst for urea–formaldehyde resin curing,10.1080/17480272.2024.2336224,2024,formaldehyde,"The abstract presents acidic deep eutectic solvent (DES) as a novel catalyst for urea–formaldehyde resin curing that results in lower formaldehyde emission compared to conventional catalysts. It explicitly states that DES is non-toxic and recyclable, suggesting safety advantages over traditional catalysts used with formaldehyde resins. Therefore, DES is indicated as a safer alternative catalyst in the context of formaldehyde resin curing.",acidic deep eutectic solvent (DES),
Formaldehyde-Free Resins for the Wood-Based Panel Industry: Alternatives to Formaldehyde and Novel Hardeners,10.3390/molecules27154862,2022,formaldehyde,"The abstract explicitly discusses substitutes for formaldehyde in resin production that eliminate free formaldehyde emissions, addressing the carcinogenic concerns associated with formaldehyde. It names specific alternatives such as glyoxal, glutaraldehyde, furfural, 5-hydroxymethylfurfural, and dimethoxyethanal, indicating these as formaldehyde-free systems. This clearly presents these substances as safer alternatives to formaldehyde.",glyoxal; glutaraldehyde; furfural; 5-hydroxymethylfurfural; dimethoxyethanal,carcinogenic properties
Thermal Condensation of Dehydrogenation Polymer (DHP) with Xylose,10.3390/polym16223139,2024,formaldehyde,"The abstract identifies DHP as a potential substitute for lignin as a formaldehyde-free adhesive, highlighting that conventional adhesives contain formaldehyde which harms health. It emphasizes DHP's excellent water resistance and formaldehyde-free nature, suggesting a safety advantage over formaldehyde-containing adhesives. Therefore, DHP is presented as a safer alternative to formaldehyde-based adhesives.",dehydrogenation polymer (DHP),"formaldehyde release, potentially lowers indoor air quality, can damage human health"
Thiel’s embalming method with additional intra-cerebral ventricular formalin injection (TEIF) for cadaver training of head and brain surgery,10.1007/s12565-020-00545-z,2020,formaldehyde,"The abstract compares Thiel’s embalming method with and without additional intra-cerebral ventricular formalin injection to formalin fixation. It notes that the combined Thiel’s method with formalin injection yields suitable brain elasticity and discharges formaldehyde in undetectable quantities, implying a safety advantage regarding formaldehyde exposure. This suggests the combined method may be a safer alternative to traditional formalin fixation.",Thiel’s embalming method with additional intra-cerebral ventricular formalin injection,
Hemp flour as a formaldehyde scavenger for melamine-urea-formaldehyde adhesive in plywood production,10.15376/BIORES.15.2.4052-4064,2020,formaldehyde,"The abstract states that hemp flour used as a filling material in melamine-urea-formaldehyde adhesive significantly reduces formaldehyde emission, indicating a safety advantage related to formaldehyde exposure. It explicitly describes hemp flour as a formaldehyde scavenger, implying it acts to reduce formaldehyde levels, which can be reasonably interpreted as a safer alternative or additive to reduce formaldehyde risks in plywood production.",hemp flour,
Influence of the treatment of hatching eggs with Pectin drug on the embryonic and postembryonic development of young poultry,10.33920/sel-03-2202-05,2022,formaldehyde,"The abstract explicitly states that formaldehyde is harmful to human health and the environment and describes Pectin as an environmentally friendly drug without harmful effects on egg incubation qualities. Pectin was tested as a disinfectant alternative to formaldehyde and showed positive effects on hatchability, livability, and live weight, implying it is a safer alternative to formaldehyde.",Pectin,"harmful to human health, harmful to the environment"
Dyeing of soybean protein/flax blended yarns with reactive dyes and subsequent dye-fixation,10.1038/s41598-022-05581-5,2022,formaldehyde,"The abstract explicitly mentions the use of an ecofriendly formaldehyde-free fixing agent (DM-2158) as a replacement in the dye-fixation process. It highlights improved colorfastness and implies safety advantages by describing the agent as formaldehyde-free and ecofriendly, indicating it is a safer alternative to formaldehyde.",DM-2158,
Recycling of Waste Bamboo Biomass and Papermaking Waste Liquid to Synthesize Sodium Lignosulfonate/Chitosan Glue-Free Biocomposite,10.3390/molecules28166058,2023,formaldehyde,"The abstract explicitly states that the sodium lignosulfonate/chitosan (L/C) bamboo biocomposite material has low formaldehyde emissions and can be used to manufacture glue-free panels, implying it is a safer alternative to formaldehyde-containing adhesives. It highlights reduced environmental pollution and suitability for wood-based panels, indicating a safety advantage over formaldehyde-based products.",sodium lignosulfonate; chitosan,
A Potential Replacement to Phenol–Formaldehyde-Based Adhesives: A Study of Plywood Panels Manufactured with Bio-Based Wood Protein and Nanolignin Adhesives,10.3390/f15081345,2024,formaldehyde,"The abstract explicitly states that plywood samples made with bio-based wood adhesives (BBWAs) showed an 88% decrease in formaldehyde emissions compared to phenol–formaldehyde (PF) adhesives, indicating a clear safety advantage. It concludes that BBWA might be a considerable replacement for PF adhesives, implying BBWA is a safer alternative to formaldehyde-based adhesives.",bio-based wood adhesives (BBWAs),
Investigating Wrinkle Resistance of Cotton and Cotton Blended Fabrics in Relation to a Non-Formaldehyde Durable Press Finish,10.33552/jtsft.2023.10.000734,2023,formaldehyde,"The abstract explicitly states that the durable press finish used is formaldehyde-free and describes it as a prime alternative to wrinkle resistance finishes containing formaldehyde, indicating a safety advantage by avoiding harmful formaldehyde chemicals.",formaldehyde-free durable press finish,contains harmful chemicals such as formaldehyde
Moisture influence on solid wood bonded with modified starch,10.5604/01.3001.0016.0501,2022,formaldehyde,"The abstract discusses replacing amine resins, which are common binders, with non-formaldehyde, plant-based starch glue as a more natural and renewable alternative. It explicitly states that the starch-based glue is non-formaldehyde and can potentially replace some chemical products, implying a safety advantage by avoiding formaldehyde-based binders.",plant-based starch glue,
Eco-Friendly Adhesives Based on the Oligomeric Condensed Tannins-Rich Extract from Alder Bark for Particleboard and Plywood Production,10.3390/ma15113894,2022,formaldehyde,"The abstract explicitly compares formaldehyde emissions between the CTs-phenol-formaldehyde (CTs-PF) resin and commercial PF resin, stating that CTs-PF resin has formaldehyde emissions twice lower, indicating a safety advantage. Additionally, the CTs-polyethyleneimine (PEI) adhesive system and CTs–PEI combined with ultra-low emitting formaldehyde resin (ULEFR) are presented as adhesives with properties close to or substituting formaldehyde-based resins, implying safer alternatives due to reduced formaldehyde emissions.",condensed tannins-phenol-formaldehyde (CTs-PF) resin; condensed tannins-polyethyleneimine (CTs-PEI) adhesive system; ultra-low emitting formaldehyde resin (ULEFR),toxic formaldehyde emissions
IMPROVEMENT OF TECHNOLOGICAL STAGES IN BEEKEEPING WITH DISINFECTION MEASURES,10.32900/2312-8402-2024-131-128-138,2024,formaldehyde,"The abstract compares several disinfectants to a 4% formaldehyde solution (Desvax) and highlights that 1.5% solutions of polyhexamethyleneguanidine hydrochloride (PHMG-HC), sodium hypochlorite, and Crystal-700 have the best disinfecting properties and are described as environmentally safe, non-toxic, non-volatile, and non-aggressive. This indicates these substances have safety advantages over formaldehyde and can be recommended for disinfection, implying they are safer alternatives to formaldehyde.",polyhexamethyleneguanidine hydrochloride (PHMG-HC); sodium hypochlorite; Crystal-700,
Preliminary Study on the Physical and Mechanical Properties of Poplar Wood Modified by Waterborne Glucose Silicone Resin,10.20944/preprints202012.0251.v1,2020,formaldehyde,"The abstract explicitly states that the waterborne glucose silicone resin is a 'green, non-formaldehyde, eco-friendly' wood modifier, indicating it does not contain formaldehyde and is environmentally friendly. This suggests it is a safer alternative to formaldehyde-based modifiers due to its non-formaldehyde nature and eco-friendliness.",waterborne glucose silicone resin,
"Renewable, Organic and Related Carbon Aerogel Monoliths from the Polycondensation of Tannin with 5-(Hydroxymethyl)furfural",10.1007/s10971-022-06015-4,2023,formaldehyde,"The abstract explicitly states that 5-(hydroxymethyl)furfural (5-HMF), a biomass-derived natural crosslinker, replaces petroleum-derived formaldehyde and is described as a green alternative to tannin-formaldehyde aerogels. It highlights the renewable and formaldehyde-free nature of the synthetic pathway, implying safety advantages by avoiding formaldehyde. Therefore, 5-HMF is presented as a safer alternative to formaldehyde.",5-(hydroxymethyl)furfural (5-HMF),
A Comprehensive Review of the Chemical Composition and Toxicological Impact of Larsen Embalming Fluid in Medical Anatomy Laboratories: Implications for Neonatal Rat Surgery Preparation,10.52783/jns.v14.2016,2025,formaldehyde,"The abstract explicitly states that the revised Larsen embalming fluid diminishes formaldehyde emissions and reduces chemical hazards compared to formaldehyde-based solutions, highlighting safety advantages such as minimized toxic exposure and improved occupational health. This indicates that Larsen embalming fluid is presented as a safer alternative to formaldehyde.",Larsen embalming fluid,"respiratory inflammation, tissue discoloration, potential carcinogenicity"
Evaluation and comparative analysis of minimal formalin containing compound fixatives,10.18231/2394-6792.2018.0091,2020,formaldehyde,"The abstract evaluates minimal formalin containing compound fixatives (EFG fixatives) that reduce formaldehyde vapor exposure compared to conventional formalin. It highlights that EFG II evaporates less formaldehyde vapor and can reduce fixation time, implying lower exposure and toxicity. The conclusion explicitly states that formaldehyde should be replaced by less toxic fixatives and suggests that minimal formalin containing EFG fixatives are effective alternatives, indicating a safer alternative to formaldehyde.",minimal formalin containing EFG fixatives,"carcinogenicity (group 1 human carcinogen), causal association with leukemia, causal association with nasopharyngeal carcinoma, formaldehyde vapor exposure"
Research Progress of Wood-Based Panels Made of Thermoplastics as Wood Adhesives,10.3390/polym14010098,2021,formaldehyde,"The abstract explicitly states that using thermoplastic resins such as polyethylene (PE) and polypropylene (PP) as wood adhesives can effectively solve the formaldehyde emission issue present in conventional urea–formaldehyde resin-bonded wood-based panels. It also mentions that thermoplastics are environmentally friendly adhesives and help in effectively solving indoor pollution problems, indicating a safety advantage over formaldehyde-based adhesives.",polyethylene (PE); polypropylene (PP),
ENGINEERING CHARACTERIZATION OF GUM ARABIC BONDED PARTICLE BOARD MADE FROM RICE HUSK AND SAWDUST,10.52417/ojes.v4i1.481,2023,formaldehyde,"The abstract explicitly states that the particle board made with Gum Arabic resin is investigated as an alternative to conventional particle board made with urea melamine or amino-formaldehyde, which is known to be carcinogenic. This implies a safety advantage by avoiding carcinogenic formaldehyde-based resins, presenting Gum Arabic as a safer alternative binder.",Gum Arabic,carcinogenicity
A novel approach utilising phosphorylated casein for fire-retardant and formaldehyde-free medium density wood fibreboards,10.1016/j.indcrop.2024.118608,2024,formaldehyde,"The abstract describes the use of phosphorylated casein combined with PAE resin to create formaldehyde-free MDF, indicating a replacement of formaldehyde-based binders. It explicitly states the MDF is formaldehyde-free and highlights improvements in fire retardancy and mechanical performance, implying a safer alternative to formaldehyde. Therefore, phosphorylated casein with PAE resin is presented as a safer alternative to formaldehyde in MDF production.",phosphorylated casein; PAE resin,
The Efficacy of Nano-Emulsified Disinfectant in Disinfecting the Workplace Environment,10.1166/NNL.2020.3216,2020,formaldehyde,"The abstract explicitly states that nano-emulsified cresol disinfectant is an ideal method to replace formaldehyde and chlorine dioxide in the disinfection of biosafety cabinets, implying it is a safer alternative. This direct comparison and recommendation indicate a safety or efficacy advantage over formaldehyde.",cresol,
Corrosion of a Laser Mirror,10.31399/asm.fach.modes.c0006440,2019,formaldehyde,"The abstract recommends replacing the water system containing deionized water and formaldehyde with water having a low oxygen content and a cathodic inhibitor (oxygen scavenger). This suggests a safer alternative to formaldehyde in the water system, implying improved safety by avoiding formaldehyde use.",water with low oxygen content; cathodic inhibitor (oxygen scavenger),
"Sosialisasi dan Peningkatan Keterampilan dalam Pemanfaatan Bahan Pengawet Alami pada Produk Nugget di Desa Ngringo, Kecamatan Jaten, Kabupaten Karanganyar",10.20961/agrihealth.v1i1.40935,2020,formaldehyde,"The abstract discusses the dangers of synthetic preservatives such as formaldehyde and borax and promotes the use of natural preservatives as a replacement. It explicitly states that the activity increased knowledge about using natural preservatives to replace synthetic preservatives, implying a safer alternative to formaldehyde.",natural preservatives,danger of using synthetic preservatives such as formaldehyde
Synthesis of Formaldehyde Free Amino Resin to Produce Green Eco-Labelled Leather with Improved Retanning Properties,10.34314/jalca.v115i4.3799,2020,formaldehyde,"The abstract explicitly presents a formaldehyde-free melamine-based resin synthesized by condensing melamine with glyoxal as a safer alternative to formaldehyde-based resins. It confirms the absence of free formaldehyde in leather and effluents treated with this resin, highlighting reduced environmental pollution and safety for humans compared to conventional formaldehyde-containing resins.",melamine-based resin condensed with glyoxal,carcinogenic effects
Bio-based adhesive derived from citric acid and sorbitol for wood-composite manufacture,10.1080/17480272.2022.2090278,2022,formaldehyde,The abstract explicitly states the need to eliminate formaldehyde-based adhesives for indoor air quality and human health and demonstrates the use of a bio-based formaldehyde-free adhesive derived from citric acid and sorbitol. This indicates that the citric acid and sorbitol adhesive is presented as a safer alternative to formaldehyde-based adhesives.,citric acid and sorbitol adhesive,
Reinforcement of Bonding Strength and Water Resistance of Soybean Meal-Based Adhesive via Construction of an Interactive Network from Biomass Residues,10.3390/polym11060967,2019,formaldehyde,"The abstract explicitly states that soybean meal-based adhesives are attractive potential environmentally friendly replacements for formaldehyde-based adhesives, indicating a safer alternative. It highlights the development of a natural fiber-reinforced soybean meal-based adhesive with improved properties, positioning it as a substitute for formaldehyde adhesives.",soybean meal-based adhesives,
Pectin-based drug for the treatment of quails’ hatching eggs,10.33920/sel-03-2108-06,2021,formaldehyde,"The abstract compares a pectin-based plant drug to formaldehyde for disinfecting quail hatching eggs and states that the pectin-based drug is harmless and environmentally friendly, implying safety advantages. It explicitly contrasts the pectin-based drug with formaldehyde and highlights positive effects on embryonic development and livability, supporting it as a safer alternative.",pectin-based plant drug,
Comparative Enactment of Formaldehyde-free and Formaldehyde-based Cross-linkers on Cotton Woven Fabrics,10.14502/TEKSTILEC2017.60.107-115,2017,formaldehyde,"The abstract compares formaldehyde-based (Fixapret CL) and formaldehyde-free (Fixapret NF) cross-linkers, noting that the formaldehyde-free resin showed marginally lower performance in some fabric properties but had lower strength loss and less yellowing. It suggests that formaldehyde-free resins may be a good replacement considering overall effectiveness, implying a safer alternative due to reduced yellowing and strength loss, which can be interpreted as safety advantages.",formaldehyde-free resins,
USING OZONE TO STIMULATE QUAIL EMBRYONIC DEVELOPMENT DURING INCUBATION,10.35679/1991-9476-2020-15-4-594-602,2020,formaldehyde,"The abstract compares ozone treatment to formaldehyde vapor for pre-incubation egg processing and highlights that formaldehyde has toxic effects on staff and embryos, whereas ozone treatment does not cause side effects and positively affects embryo development. This indicates ozone as a safer alternative to formaldehyde.",ozone,"toxic effect on staff, toxic effect on the development of embryos during incubation"
Comparison of electroless plating interconnection of different reducing agent systems,10.1109/ICEPT59018.2023.10492314,2023,formaldehyde,"The abstract explicitly states that formaldehyde, the traditional reducing agent, poses risks to the environment and human health. It then investigates sodium hypophosphite and glyoxylic acid as alternative reducing agents, describing them as harmless and environmentally friendly. This clearly indicates that glyoxylic acid and sodium hypophosphite are presented as safer alternatives to formaldehyde.",sodium hypophosphite; glyoxylic acid,"risks to natural environment, risks to human health"
LOCAL-IRRITATING PROPERTIES OF «PENOX-1» PRODUCTS,10.36871/vet.san.hyg.ecol.202402019,2024,formaldehyde,"The abstract states that formaldehyde is toxic and not safe for the environment, and introduces Penox-1 as a new, low-toxic, and environmentally friendly product for disinfection. It further reports that Penox-1 solutions did not have a damaging effect on skin and mucous membranes in laboratory animals at recommended concentrations, indicating a safety advantage over formaldehyde. Therefore, Penox-1 is presented as a safer alternative to formaldehyde.",Penox-1,"toxicity to animals, toxicity to service personnel, environmental hazard, local irritant effect on skin, local irritant effect on mucous membranes of the eyes, hyperemia of conjunctival and corneal vessels, mild edema of eyelids"
Preclinical evaluation of bacterially produced RSV-G protein vaccine: Strong protection against RSV challenge in cotton rat model,10.1038/srep42428,2017,formaldehyde,"The abstract compares the recombinant unglycosylated RSV G protein vaccine to formaldehyde inactivated RSV (FI-RSV) and notes that enhanced lung pathology was observed only in animals vaccinated with FI-RSV, but not with the G protein vaccine. This suggests a safety advantage of the G protein vaccine over the formaldehyde-inactivated vaccine, indicating it as a safer alternative.",recombinant unglycosylated RSV G protein vaccine,
DEVELOPMENT OF A TECHNIQUE AND COMPARISON OF TRADITIONAL PRESERVATION METHOD USING SAINDHAVA LAVANA AND SAMUDRA LAVANA WITH EXISTING FORMALDEHYDE ORGAN PRESERVATION TECHNIQUE,10.7897/2277-4343.156191,2024,formaldehyde,"The abstract explicitly compares salt-based preservation methods (Saindhava Lavana and Samudra Lavana) to formaldehyde and highlights that salt poses no health risks, unlike formaldehyde which causes various side effects. This indicates a clear safety advantage of the salt methods over formaldehyde, presenting them as safer alternatives for organ preservation.",Saindhava Lavana; Samudra Lavana,causes various side effects
Preparation and application of a novel biomass-based amphoteric retanning agent with the function of reducing free formaldehyde in leather,10.1016/j.jclepro.2020.121796,2020,formaldehyde,"The abstract presents a novel biomass-based amphoteric retanning agent that significantly reduces free formaldehyde in leather, indicating a safety advantage related to formaldehyde exposure. It is described as non-toxic and biodegradable, and it removes free formaldehyde with a removal rate of 70.2%, suggesting it is a safer alternative to formaldehyde-containing agents.",biomass-based amphoteric retanning agent,
Health adverse effects of formaldehyde exposure to students and staff in gross anatomy,10.18535/IJSRM/V6I2.MP02,2018,formaldehyde,"The abstract explicitly states that finding alternative preservation methods, such as freezing, would be safer than using formaldehyde, indicating freezing as a safer alternative.",freezing,"nasal itching, eyes burning, excessive lacrimation, eyes redness, headache, respiratory distress, nasal congestion, cough, mouth dryness, temporary loss of ability to recognize the smell of formaldehyde, need for physician assistance after exposure"
"Synthesis of Bio-Based Non-Fluorinated Oil and Water Repellent Finishes for Cotton Fabric by Using Palmitic Acid, Succinic Acid, and Maleic Acid",10.1080/15440478.2022.2116141,2022,formaldehyde,"The abstract explicitly states that the developed oil and water repellents are formaldehyde-free and bio-based, using palmitic acid combined with bio-succinic acid or maleic acid, and are presented as ecofriendly alternatives to traditional formaldehyde-based substances. It highlights that these new polymers provide comparable or better performance while avoiding formaldehyde, implying a safer alternative.",palmitic acid; succinic acid; maleic acid,"long-term negative impact on human health, long-term negative impact on natural environment"
Recent Development in Synthesis of N‐Methylamines with Amines and Methanol,10.1002/cctc.202400291,2024,formaldehyde,"The abstract explicitly compares methanol to formaldehyde, describing formaldehyde as toxic and methanol as more eco-friendly and suitable for N-methylation reactions. This indicates methanol is presented as a safer alternative to formaldehyde for N-methylation.",methanol,toxicity
"Copper-Catalyzed Tandem Multi-Component Approach to 1,3-Oxazines at Room Temperature by Cross-Dehydrogenative Coupling Using Methanol as C1 Feedstock",10.1055/s-0036-1591775,2018,formaldehyde,"The abstract explicitly states that the reaction avoids the use of carcinogenic formaldehyde by using methanol as the carbon source and an environmentally benign copper(II) catalyst and oxidant. This indicates a safer alternative to formaldehyde in the synthesis of 1,3-oxazines.",methanol,
Formaldehyde-free self-polymerization of lignin-derived monomers for synthesis of renewable phenolic resin.,10.1016/j.ijbiomac.2020.11.012,2020,formaldehyde,"The abstract clearly states that the new phenolic resins are synthesized using lignin-derived monomers without using formaldehyde, aiming to replace toxic formaldehyde. It emphasizes a green and sustainable approach, implying safety advantages by avoiding formaldehyde's adverse effects on environment and human health. Thus, lignin-derived monomers serve as a safer alternative to formaldehyde.",lignin-derived monomers,"adverse effects on the environment, adverse effects on human health, toxicity"
Development of a bio‐xerogel from Kraft black liquor and tannin: Crosslinker analysis and property assessment,10.1002/cjce.25619,2025,formaldehyde,"The abstract explicitly states that the biobased polymer is crosslinked with less toxic aldehydes such as furfural and glyoxal as alternatives to formaldehyde, indicating a safety advantage. It also mentions that furfural-based formulations have superior mechanical strength and stability compared to formaldehyde ones, supporting the feasibility of these safer alternatives.",furfural; glyoxal,
"Tuning the Adhesive Properties of Soy Protein Wood Adhesives with Different Coadjutant Polymers, Nanocellulose and Lignin",10.3390/polym13121972,2021,formaldehyde,"The abstract explicitly states that soy protein-based wood adhesives are proposed as formaldehyde-free alternatives to commercial urea formaldehyde adhesives, which contain formaldehyde and have associated environmental and health concerns. This indicates that the soy protein-based adhesives are presented as safer alternatives to formaldehyde-containing adhesives.",soy protein-based adhesives,
Urea-Formaldehyde Resin Systems Modified with Partially Pyrolyzed and Delignified Lignin: A Review,10.61150/ijonfest.2025030206,2025,formaldehyde,"The abstract discusses the use of bio-based lignin polymer as a replacement additive in urea-formaldehyde resins to reduce formaldehyde emissions, which endanger environmental and human health. It explicitly states that partial pyrolysis of lignin can reduce formaldehyde emissions, implying a safety advantage over formaldehyde-based resins.",bio-based lignin polymer; partially pyrolyzed lignin,formaldehyde emissions endanger environmental and human health
Properties of High-Density Fiberboard Bonded with Urea–Formaldehyde Resin and Ammonium Lignosulfonate as a Bio-Based Additive,10.3390/polym13162775,2021,formaldehyde,"The abstract presents ammonium lignosulfonate (ALS) as a bio-based, formaldehyde-free additive to urea–formaldehyde resin that reduces free formaldehyde emissions in high-density fiberboard panels. It highlights ALS's role as a formaldehyde scavenger and describes it as an eco-friendly additive, implying safety advantages over formaldehyde-containing adhesives. Thus, ALS is clearly indicated as a safer alternative to formaldehyde in this context.",ammonium lignosulfonate,
"A Tough, Water-Resistant, High Bond Strength Adhesive Derived from Soybean Meal and Flexible Hyper-Branched Aminated Starch",10.3390/polym11081352,2019,formaldehyde,"The abstract explicitly states that the soybean meal (SM)-based adhesive has great potential to replace carcinogenic formaldehyde, indicating it as a safer alternative. It highlights the development of a novel SM adhesive with improved properties, implying a safer bio-based alternative to formaldehyde-containing adhesives.",soybean meal (SM),carcinogenicity
Research on the Release of Dangerous Compounds from the BTEX and PAHs Groups in Industrial Casting Conditions,10.3390/ma14102581,2021,formaldehyde,"The abstract compares emissions from moulding sands with different binders, including phenol-formaldehyde and inorganic binders, and states that emissions from sands with inorganic binders are negligible compared to organic binders like phenol-formaldehyde. This indicates that inorganic binders have a safety advantage in terms of lower harmful gas emissions, suggesting they are a safer alternative to formaldehyde-based binders.",inorganic binders,
Toward Complete Utilization of Miscanthus in a Hot-Water Extraction-Based Biorefinery,10.3390/EN11010039,2017,formaldehyde,"The abstract explicitly states that the recovered lignin was used to prepare a formaldehyde-free alternative to phenol-formaldehyde resins, indicating a safer alternative to formaldehyde-based resins. This clearly presents a replacement material with a safety advantage by avoiding formaldehyde.",formaldehyde-free phenol resins,
Bio-based composites from bagasse using carbohydrate enriched cross-bonding mechanism: A formaldehyde-free approach,10.1016/j.carpta.2024.100467,2024,formaldehyde,"The abstract explicitly states the production of formaldehyde-free bagasse particleboard using a cross-bonding technique and sustainable bone glue, indicating these as alternatives to formaldehyde-based adhesives. It highlights the use of bone glue and cross-bonding as safer substitutes by emphasizing the formaldehyde-free nature of the product.",bone glue,
Solvent-free synthesis of a formaldehyde-free benzoxazine monomer: Study of its curing acceleration effect for commercial benzoxazine,10.1039/d2py00462c,2022,formaldehyde,"The abstract mentions the synthesis of a formaldehyde-free benzoxazine monomer, which implies it is an alternative to formaldehyde-containing monomers. The term 'formaldehyde-free' directly indicates a safer alternative by avoiding formaldehyde, a known hazardous substance.",formaldehyde-free benzoxazine monomer,
Analysis of Fluorescent Proteins for Observing Single Gene Locus in a Live and Fixed Escherichia coli Cell,10.1021/acs.jpcb.4c01816,2024,formaldehyde,"The abstract compares formaldehyde fixation with glyoxal fixation and notes that formaldehyde disrupts proper DNA locus observations, whereas glyoxal fixation preserves the foci positions better. This indicates glyoxal as a fixation method with advantages over formaldehyde in this context, implying it is a safer alternative for fixation in gene locus imaging.",glyoxal,
